"location_id","location_name","latitude","longitude","elevation","parent_location_id"
"1","PLOT__PA002",44.2309113,-122.20169127,604,NA
"2","PLOT__PA003",44.22821061,-122.20172777,649,NA
"3","PLOT__PA004",44.22550993,-122.20176427,767,NA
"4","PLOT__PA005",44.22010856,-122.20183726,912,NA
"5","PLOT__PA006",44.21740788,-122.20187375,993,NA
"6","PLOT__PA009",44.22862562,-122.19671377,697,NA
"7","PLOT__PA010",44.22592494,-122.1967505,764,NA
"8","PLOT__PA011",44.22322426,-122.19678722,828,NA
"9","PLOT__PA012",44.22052358,-122.19682394,929,NA
"10","PLOT__PA013",44.21735515,-122.19436329,1091,NA
"11","PLOT__PA016",44.23080531,-122.18666695,639,NA
"12","PLOT__PA017",44.22810464,-122.18670414,726,NA
"13","PLOT__PA018",44.22540396,-122.18674133,783,NA
"14","PLOT__PA019",44.22270329,-122.18677851,859,NA
"15","PLOT__PA020",44.22000262,-122.18681569,1053,NA
"16","PLOT__PA021",44.21730194,-122.18685286,1181,NA
"17","PLOT__PA023",44.21190058,-122.18692719,1276,NA
"18","PLOT__PA027",44.22535024,-122.17922988,784,NA
"19","PLOT__PA028",44.22264957,-122.17926741,867,NA
"20","PLOT__PA029",44.2199489,-122.17930493,924,NA
"21","PLOT__PA031",44.21454756,-122.17937995,1099,NA
"22","PLOT__PA032",44.21184688,-122.17941746,1203,NA
"23","PLOT__PA036",44.22529602,-122.17171846,804,NA
"24","PLOT__PA037",44.22259536,-122.17175633,813,NA
"25","PLOT__PA038",44.21989469,-122.17179419,858,NA
"26","PLOT__PA039",44.21719403,-122.17183205,994,NA
"27","PLOT__PA040",44.21449336,-122.17186991,1074,NA
"28","PLOT__PA041",44.21179269,-122.17190775,1171,NA
"29","PLOT__PA042",44.20909202,-122.1719456,1311,NA
"30","PLOT__PA044",44.23064262,-122.16413062,747,NA
"31","PLOT__PA045",44.22794197,-122.16416885,740,NA
"32","PLOT__PA048",44.21983999,-122.16428348,883,NA
"33","PLOT__PA051",44.20903734,-122.16443625,1040,NA
"34","PLOT__PA053",44.24139,-122.15646424,923,NA
"35","PLOT__PA054",44.23868935,-122.15650283,871,NA
"36","PLOT__PA059",44.20898216,-122.15692693,1040,NA
"37","PLOT__PA062",44.24943618,-122.14883399,1109,NA
"38","PLOT__PA063",44.24673554,-122.14887294,1039,NA
"39","PLOT__PA064",44.24403491,-122.14891188,986,NA
"40","PLOT__PA065",44.24133427,-122.14895082,935,NA
"41","PLOT__PA066",44.23863363,-122.14898975,930,NA
"42","PLOT__PA076",44.24395038,-122.13764128,1131,NA
"43","PLOT__PA077",44.24124974,-122.13768073,1145,NA
"44","PLOT__PA078",44.23854911,-122.13772018,1048,NA
"45","PLOT__PA079",44.23584848,-122.13775962,950,NA
"46","PLOT__PA080",44.23314784,-122.13779906,897,NA
"47","PLOT__PA081",44.24653429,-122.13717145,1132,NA
"48","PLOT__PA200",44.20822481,-122.24425407,742,NA
"49","PLOT__PA203",44.21240413,-122.24317419,639,NA
"50","PLOT__PA204",44.21499278,-122.24389212,544,NA
"51","PLOT__PA207",44.21808705,-122.24741878,493,NA
"52","PLOT__PA208",44.22031546,-122.24539522,488,NA
"53","PLOT__PA209",44.22336454,-122.24259885,486,NA
"54","PLOT__PA210",44.22484429,-122.23937693,490,NA
"55","PLOT__PA211",44.22567066,-122.23567917,489,NA
"56","PLOT__PA217",44.20558957,-122.12835098,1502,NA
"57","PLOT__PA224",44.27353961,-122.16745736,1172,NA
"58","PLOT__PA226",44.26997215,-122.1733466,1074,NA
"59","PLOT__PA233",44.20802502,-122.12895341,1497,NA
"60","PLOT__PA234",44.21071866,-122.12917656,1510,NA
"61","PLOT__PA235",44.21336191,-122.12987616,1558,NA
"62","PLOT__PA239",44.20386095,-122.12246903,1391,NA
"63","PLOT__PA240",44.20405665,-122.11768598,1375,NA
"64","PLOT__PA241",44.20335165,-122.11332177,1339,NA
"65","PLOT__PA243",44.23175661,-122.155237,781,NA
"66","PLOT__PA245",44.23053193,-122.1479295,898,NA
"67","PLOT__PA246",44.22983713,-122.14410802,898,NA
"68","PLOT__PA247",44.2292941,-122.14013417,986,NA
"69","PLOT__PA248",44.2285564,-122.13662651,1031,NA
"70","PLOT__PA249",44.22803283,-122.13287791,1024,NA
"71","PLOT__PA250",44.22643042,-122.1293456,1028,NA
"72","PLOT__PA252",44.2248442,-122.12206971,1006,NA
"73","PLOT__PA253",44.22250753,-122.11909971,1017,NA
"74","PLOT__PA256",44.22779472,-122.17238459,675,NA
"75","PLOT__PA257",44.22742991,-122.16925951,692,NA
"76","PLOT__PA258",44.20518168,-122.25316885,540,NA
"77","PLOT__PA259",44.20416152,-122.24995338,603,NA
"78","PLOT__PA260",44.20198189,-122.24824684,682,NA
"79","PLOT__PA265",44.27362457,-122.16061448,1250,NA
"80","PLOT__PA266",44.27204341,-122.1574042,1250,NA
"81","PLOT__PA270",44.27776467,-122.1378539,1398,NA
"82","PLOT__PA272",44.2793004,-122.1447699,1502,NA
"83","PLOT__PA273",44.28199677,-122.14615325,NA,NA
"84","PLOT__PA274",44.27851879,-122.14866715,1471,NA
"85","PLOT__PA275",44.27656203,-122.15129102,1428,NA
"86","PLOT__PA276",44.27712371,-122.15495315,1398,NA
"87","PLOT__PA277",44.27650446,-122.15853248,1389,NA
"88","PLOT__PA279",44.27696664,-122.16569196,1307,NA
"89","PLOT__PA303",44.24068575,-122.20256099,630,NA
"90","PLOT__PA304",44.24344163,-122.20011912,686,NA
"91","PLOT__PA305",44.24696108,-122.19360859,670,NA
"92","PLOT__PA306",44.25023459,-122.18801502,700,NA
"93","PLOT__PA307",44.25173116,-122.18451223,787,NA
"94","PLOT__PA308",44.2545097,-122.18151758,794,NA
"95","PLOT__PA309",44.25782055,-122.17869061,814,NA
"96","PLOT__PA310",44.25636373,-122.17268546,854,NA
"97","PLOT__PA311",44.25793877,-122.17510618,876,NA
"98","PLOT__PA312",44.26212749,-122.1704498,910,NA
"99","PLOT__PA314",44.26170867,-122.17727093,860,NA
"100","PLOT__PA315",44.2629143,-122.18469591,959,NA
"101","PLOT__PA317",44.26582706,-122.17408126,950,NA
"102","PLOT__PA318",44.23802204,-122.19375573,680,NA
"103","PLOT__PA322",44.23185468,-122.18106782,669,NA
"104","PLOT__PA323",44.23530672,-122.19554595,630,NA
"105","PLOT__PA324",44.23426671,-122.1872579,659,NA
"106","PLOT__PA327",44.23305255,-122.1418826,864,NA
"107","PLOT__PA328",44.23203434,-122.12868698,999,NA
"108","PLOT__PA329",44.22493725,-122.11662204,1049,NA
"109","PLOT__PA330",44.2195116,-122.11587691,1060,NA
"110","PLOT__PA334",44.22405959,-122.23184447,528,NA
"111","PLOT__PA336",44.22253856,-122.22658094,637,NA
"112","PLOT__PA338",44.21689877,-122.23268869,765,NA
"113","PLOT__PA339",44.21398748,-122.23220074,744,NA
"114","PLOT__PA340",44.22018203,-122.22161662,719,NA
"115","PLOT__PA341",44.21680679,-122.22043428,788,NA
"116","PLOT__PA342",44.21823447,-122.21461923,839,NA
"117","PLOT__PA344",44.21836724,-122.20517827,936,NA
"118","PLOT__PA345",44.21613209,-122.208726,1044,NA
"119","PLOT__PA347",44.21247672,-122.23514949,748,NA
"120","PLOT__PA348",44.2270255,-122.22177685,556,NA
"121","PLOT__PA349",44.2293332,-122.21430888,569,NA
"122","PLOT__PA350",44.21669987,-122.22555511,831,NA
"123","PLOT__PA351",44.21351133,-122.22303138,889,NA
"124","PLOT__PA352",44.23121941,-122.20844874,576,NA
"125","PLOT__PA353",44.21180609,-122.22913728,852,NA
"126","PLOT__PA354",44.21446208,-122.22781328,844,NA
"127","PLOT__PA400",44.20882554,-122.15315441,1055,NA
"128","PLOT__PB008",44.2313263,-122.19667703,621,NA
"129","PLOT__PB014",44.21465447,-122.19440011,1184,NA
"130","PLOT__PB022",44.21460126,-122.18689002,1285,NA
"131","PLOT__PB030",44.21724823,-122.17934244,1077,NA
"132","PLOT__PB046",44.22524131,-122.16420706,758,NA
"133","PLOT__PB047",44.22254065,-122.16424527,797,NA
"134","PLOT__PB052",44.20633667,-122.16447443,1170,NA
"135","PLOT__PB055",44.23598871,-122.15654141,805,NA
"136","PLOT__PB060",44.2062815,-122.15696546,1167,NA
"137","PLOT__PB067",44.23593298,-122.14902868,876,NA
"138","PLOT__PB201",44.2105432,-122.23816611,756,NA
"139","PLOT__PB202",44.21017816,-122.24148785,669,NA
"140","PLOT__PB206",44.21744332,-122.25142374,468,NA
"141","PLOT__PB216",44.20376332,-122.12617514,1438,NA
"142","PLOT__PB225",44.27214142,-122.17079762,1115,NA
"143","PLOT__PB242",44.2326693,-122.15935615,744,NA
"144","PLOT__PB244",44.23097333,-122.15159193,874,NA
"145","PLOT__PB251",44.22647665,-122.12525432,991,NA
"146","PLOT__PB254",44.22969183,-122.17952014,636,NA
"147","PLOT__PB255",44.22865645,-122.1757657,662,NA
"148","PLOT__PB264",44.27484767,-122.16411823,1216,NA
"149","PLOT__PB267",44.27081129,-122.15392595,1244,NA
"150","PLOT__PB268",44.27132851,-122.14962071,1260,NA
"151","PLOT__PB269",44.2711026,-122.14589003,1231,NA
"152","PLOT__PB271",44.27815971,-122.14144647,1448,NA
"153","PLOT__PB278",44.27607606,-122.16209688,1352,NA
"154","PLOT__PB302",44.2380171,-122.2059031,640,NA
"155","PLOT__PB316",44.26597652,-122.17982994,1011,NA
"156","PLOT__PB325",44.23286802,-122.20212813,567,NA
"157","PLOT__PB326",44.23158688,-122.17388412,687,NA
"158","PLOT__PB331",44.21439431,-122.11333291,1129,NA
"159","PLOT__PB332",44.20891799,-122.11159208,1205,NA
"160","PLOT__PB333",44.2086377,-122.11738455,1244,NA
"161","PLOT__PB335",44.22647023,-122.22884575,576,NA
"162","PLOT__PB337",44.21963447,-122.23116339,729,NA
"163","PLOT__PB343",44.21965303,-122.21143304,888,NA
"164","PLOT__PB346",44.21501431,-122.20334566,1094,NA
"165","PLOT__PB356",44.21336742,-122.21909018,886,NA
"166","PLOT__PB357",44.21281981,-122.21537967,873,NA
"167","PLOT__PB358",44.20562494,-122.11538376,1310,NA
"168","PLOT__PC001",44.20664191,-122.2571511,459,NA
"169","PLOT__PC002",44.21401836,-122.24967644,488,NA
"170","PLOT__PC004",44.21742613,-122.26077333,481,NA
"171","PLOT__PC005",44.2195,-122.2578,643,NA
"172","PLOT__PC006",NA,NA,NA,NA
"173","PLOT__PC007",44.22218859,-122.20252664,903,NA
"174","PLOT__PC008",44.2353033,-122.1911378,647,NA
"175","PLOT__PC009",44.22717245,-122.12174888,979,NA
"176","PLOT__PC010",44.24209415,-122.14276865,994,NA
"177","PLOT__PC011",44.25067222,-122.15130105,1116,NA
"178","PLOT__PC012",44.24627228,-122.15895568,1081,NA
"179","PLOT__PC013",44.24924626,-122.13622203,1178,NA
"180","PLOT__PC014",44.25911944,-122.15925,965,NA
"181","PLOT__PC015",44.26621172,-122.17020059,971,NA
"182","PLOT__PC016",44.26749545,-122.17786922,1030,NA
"183","PLOT__PC017",44.27312824,-122.1369729,1302,NA
"184","PLOT__PC018",44.27447074,-122.13525278,1334,NA
